,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,1246526,-,-,-,40.81,-73.94,-5,19,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,4.0.0
1,Year,Month,Day,Hour,Minute,Dew Point,GHI,Temperature,Wind Direction,Surface Albedo,DHI,DNI,Pressure,Wind Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2017,1,2,16,30,2.4000000000000004,2,3,64,0.09,2,0,1026,2.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2017,1,2,17,30,2.4000000000000004,0,3,56,0.09,0,0,1026,2.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2017,1,2,18,30,2.4000000000000004,0,2.9000000000000004,52,0.09,0,0,1026,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2017,1,2,19,30,2.5,0,3,50,0.12,0,0,1025,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2017,1,2,20,30,2.6,0,3.1,52,0.12,0,0,1024,2.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2017,1,2,21,30,2.8000000000000003,0,3.3000000000000003,53,0.12,0,0,1023,2.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2017,1,2,22,30,2.9000000000000004,0,3.3000000000000003,51,0.12,0,0,1022,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2017,1,2,23,30,3,0,3.4000000000000004,50,0.12,0,0,1021,2.8000000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2017,1,3,0,30,3.1,0,3.6,52,0.12,0,0,1020,2.9000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2017,1,3,1,30,3.4000000000000004,0,3.8000000000000003,53,0.12,0,0,1020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2017,1,3,2,30,3.6,0,4,53,0.12,0,0,1019,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
